COD_SS|STATUS|STATUS_REASON|DATA_STATUS|ARMARIO|STREETNAME|STATEORPROVINCE|POSTCODE|CNL|NEIGHBORDHOOD|CATEGORIZES_TYPE|SPECIFICATION_TYPE|SPECIFICATION_PRODUCT|DETAIL|DATA_ABERTURA|DATA_VENCIMENTO|TIME_SLOT|PHYSICALRESOURCESUMMARY|TELEPHONENUMERIC|DESIGNATOR|CITY|CLUSTER_|FABRICA|REGIONAL|CUSTOMER_DOCUMENTNUMERIC|CUSTOMER_NAME|EXECUTEDBYLOGIN|EXECUTEDBYNAME|NOTDONEREASON|PRIORITY|SCHEDULEPROFILE|CUSTOMER_SEGMENT|DATA_AGENDADA|REDESPACHO|CONTEXTO_SIEBEL|TOTAL_REPETIDO_30D_PL|TECNICO_CHECKLIST|SERVICE_TECHNOLOGY|VELOCIDADEADSL|REPETIDO_PRODUTO_30D|REGISTRADO_CHECKLIST|CUSTOMER_RANK|SEGMENTACAO|DESIGNADOR_TV|REDE|MICROAREA|TELEPHONIC_AREA|CENTRAL_OFFICE|PHYSICAL_LINK_MEDIA_TYPE|FLAG_RECENTE|EXECUTOR_BA|TEC_ANTERIOR|PRIMEIRO_AGENDAMENTO|CABO_PRIMARIO|PAR_PRIMARIO|CABO_SECUNDARIO|PAR_SECUNDARIO|LATERAL_PRIMARIO|LATERAL|NUMERO_CAIXA|NOME_MSAN|NP|DATA_CARGA|DATA_LAST_UPDATE_PLWO|ID_FIBRA|OLT|OLT_PORTA|OLT_SLOT|SPLITTER_FIBRA_L2|ORIGEM_CONTATO|ABERTURA_TIPO2_SIEBEL|LATITUDE|LONGITUDE|CLIENTE_GOAS|MARCACAO_VIA_CHAT|PLATFORM|IND_CRITICOS|IND_DISPONIBILIDADE_FIBRA|SAS_BUSINESSID|SAS_STATUSREASON|SASEVEN_CODE|SASEVEN_VIVO1_ID|SASEVEN_DATA_INICIO|SASEVEN_FLAG_ATIVO|SASEVEN_DATA_PREVISAO|SASEVEN_DATA_FECHAMENTO|SASEVEN_LEVEL|SASEVEN_CREATOR|SASCAUSA_NOME|XA_FAULT_REASON|XA_OPERATOR_ID|XA_API_CANCEL_REASON|NOM_SISTEMA_ORIGEM|FLAG_ICMCOE|DESIGNADOR_ACESSO|FLAG_CASAINTELIGENTE|PARENT1|PARENT2|PARENT3|PARENT4|AURA_CASO|AURA_DAT_ENVIO|AURA_DAT_CONF|AURA_RETORNO|IFI|IFI_GERADOR|IRR|IRR_GERADOR|FL_COBERTURA|FL_DISPONIBILIDADE|FL_22K|FLAG_ANATEL|ID_MASSIVA|ID_ORIGEM_MASSIVA|STATUS_MASSIVA|STATUS_CERT_CE|STATUS_CERTIFICACAO_QUALIDADE|V_SEM_TESTE|STATUS_AURA|RESPOSTA_AURA|V_PRAZO_ENCERRAMENTO_CO|V_PRAZO_CERTIFICACAO_GERAL|AGING_ENVIO_COE_ENCERRAR|AGING_FIM_DESASSOCIACAO|STATUS_CIRE|RESULTADO_TESTE_AUTH_TI|RESULTADO_TESTE_SYNC_TI|DATA_PROCESSAMENTO_REPARO|DATA_ENCOUCANC_MASSIVA|DATA_ENVIO_AURA|DATA_RESPOSTA_AURA|DATA_STATUS_CIRE|DATA_DISPARO_TESTE_TI|DATA_COLETA_TESTE_TI|DATA_ENVIO_COE_ENCERRAR|DATA_DESASSOCIACAO|FLAG_FOI_DESASSOCIADO|IND_PASSAGEM_OUVIDORIA
196290050|AGENDADA||21/07/2026 09:25:43|MG_SBA|AVENIDA ALBERT SCHARLE 1423|MG|34535100|31710|PACIENCIA|TROUBLETICKET|DEFEITO|BANDA|SINCRONISMO|18/07/2026 16:25:21|24/07/2026 18:00:00|12:30-18:00|Dslan: N/E Nome NISIP(agregador): N/E DG Assinante H: N/E DG Assinante V: N/E DG Assinante Pino: N/E DG Central H: N/E DG Central V: N/E DG Central Pino: N/E ID Central MSAN: N/E Cabo Primário: N/E Par Primário: N/E Tipo da Caixa Primário: N/E Número da caixa primário: N/E Número da Caixa secundário: N/E Par Secundário: N/E Endereço da caixa: N/E LIC para: N/E Pino Para: N/E Lic Dedicado: N/E Par Dedicado: N/E Satelite: N/E ID Fibra: SBA-73625933-069 Tipo Rede Fibra: FTTH ID ONT: N/E OLT: MG_SBA01_GNOKIA_ATC OLT Porta: 3 OLT Slot: 7 Vlan Multicast: 4000 Vlan Usuario: 875 Vlan Unicast: 3900 Vlan Rede: 100 Vlan Audiência: 875 Caixa Subterrânea: CTOP-1235 Fibra 1º Nível: MG.SBA.CP-2.PDF-9 Fibra Porta: 6 Fibra Splitter 2: CTOP-1235 Tecnologia Fibra: GPON Tipo Equipamento: N/E Cabo: MG.SBA.CP-2.PDF-9 Lateral Fibra: N/E||SBA-V0001WTZ5L-013|SABARA|BELO HORIZONTE| |MINAS|||||MASSIVA EM ANÁLISE||API_GPS|RESIDENCIAL||0|V0001WTZ5L|0|NAO| GPON |300 Mbps|0|NAO|PLATINUM|PLATINUM||ATC||ATC||GPON|N|||2026-07-20 18:00:00||||||||||22/07/2026 08:33:14|22/07/2026 08:21:09|SBA-73625933-069|MG_SBA01_GNOKIA_ATC|3|7|CTOP-1235|||-43.819170000000000|-19.905929999999998|NAO|||0|False|||||||||||||||NEXT|||0|31710_SBA0004117|MG_SBA|34535100|BKT_SABARA|Reagendamento Reparos|21/07/2026 08:40:01|||0||0|||||||||||||||||||||||||||||||0
196291329|PENDENTE|AGENDAMENTO|21/07/2026 22:13:55|PERCE_G1M21|RUA ALTO DO MUNDO NOVO 168|PE|52081050|81000|VASCO DA GAMA|TROUBLETICKET|DEFEITO|BANDA|SINCRONISMO|18/07/2026 16:29:08|21/07/2026 18:00:00|12:30-18:00|Dslan: N/E Nome NISIP(agregador): N/E DG Assinante H: N/E DG Assinante V: N/E DG Assinante Pino: N/E DG Central H: N/E DG Central V: N/E DG Central Pino: N/E ID Central MSAN: N/E Cabo Primário: N/E Par Primário: N/E Tipo da Caixa Primário: N/E Número da caixa primário: N/E Número da Caixa secundário: N/E Par Secundário: N/E Endereço da caixa: R.ALTO DO MUNDO NOVO235 LIC para: N/E Pino Para: N/E Lic Dedicado: N/E Par Dedicado: N/E Satelite: N/E ID Fibra: RCE-75048567-069 Tipo Rede Fibra: FTTH ID ONT: N/E OLT: RCE_M21_1_GPON_VLAN_400_401_402-AJP OLT Porta: 6 OLT Slot: 6 Vlan Multicast: 4000 Vlan Usuario: 1454 Vlan Unicast: 3800 Vlan Rede: 400 Vlan Audiência: 1454 Caixa Subterrânea: M21G0211 Fibra 1º Nível: M21-F#53 Fibra Porta: 4 Fibra Splitter 2: M21SP53SS3 Tecnologia Fibra: N/E Tipo Equipamento: N/E Cabo: M21-F#53 Lateral Fibra: N/E||RCE-V0001Y8SVA-013|RECIFE|RECIFE| |NORDESTE|||||TRATAMENTO DE SOBRAS||A0158862|RESIDENCIAL||2|V0001Y8SVA|0|NAO| GPON |600 Mbps|0|NAO|SILVER|SILVER||VIVO2||||GPON|N|||2026-07-20 12:30:00||||||||||22/07/2026 08:33:14|22/07/2026 08:21:09|RCE-75048567-069|RCE_M21_1_GPON_VLAN_400_401_402-AJP|6|6|M21SP53SS3|||-34.921880984982003|-8.014326619324001|NAO|||0|False|||||||||||||||NEXT|||0|81000_17841|PERCE_G1M21|52081050|BKT_01_R2_RECIFE|Reagendamento Reparos|22/07/2026 08:40:02|||0||0|||||||||||||||||||||||||||||||1
196291568|AGENDADA||20/07/2026 04:54:54|MGSLU_G1I03|RUA ANTONIO DA SILVA OLIVEIRA 275|MG|33015385|31772|BOM JESUS|TROUBLETICKET|DEFEITO|BANDA|PROBLEMA COM MODEM - HGU|18/07/2026 16:31:14|23/07/2026 12:30:00|08:30-12:30|Dslan: N/E Nome NISIP(agregador): N/E DG Assinante H: N/E DG Assinante V: N/E DG Assinante Pino: N/E DG Central H: N/E DG Central V: N/E DG Central Pino: N/E ID Central MSAN: N/E Cabo Primário: N/E Par Primário: N/E Tipo da Caixa Primário: N/E Número da caixa primário: N/E Número da Caixa secundário: N/E Par Secundário: N/E Endereço da caixa: N/E LIC para: N/E Pino Para: N/E Lic Dedicado: N/E Par Dedicado: N/E Satelite: N/E ID Fibra: SLU-70956385-069 Tipo Rede Fibra: FTTH ID ONT: N/E OLT: 1 OLT Porta: N/E OLT Slot: N/E Vlan Multicast: N/E Vlan Usuario: 172 Vlan Unicast: N/E Vlan Rede: 113 Vlan Audiência: 172 Caixa Subterrânea: I03G0755 Fibra 1º Nível: N/E Fibra Porta: 3 Fibra Splitter 2: I03G0755 Tecnologia Fibra: GPON Tipo Equipamento: N/E Cabo: N/E Lateral Fibra: N/E||SLU-V0001WRA4D-013|SANTA LUZIA|CONTAGEM| |MINAS|||||MASSIVA EM ANÁLISE||TBR01060|RESIDENCIAL||0|V0001WRA4D|0|NAO| GPON |600 Mbps|0|NAO|SILVER|SILVER||FIBRASIL||FIBRASIL||GPON|N|||2026-07-19 16:31:08||||||||||22/07/2026 08:33:14|22/07/2026 08:21:09|SLU-70956385-069|1|||I03G0755|||-43.838870900000003|-19.756718299999999|NAO|||0|False|||||||||||||||NEXT|||0|31772_FB0007809707|MGSLU_G1I03|33015385|BKT_SANTA_LUZIA|||||0||0|||||||||||||||||||||||||||||||0
196292344|AGENDADA||20/07/2026 19:17:53|MGPCS_G1I01|RUA SILVIO DE OLIVEIRA 56|MG|37701410|31584|VILA CRUZ|TROUBLETICKET|DEFEITO|BANDA|PROBLEMA COM MODEM - HGU|18/07/2026 16:37:47|22/07/2026 18:00:00|12:30-18:00|Dslan: N/E Nome NISIP(agregador): N/E DG Assinante H: N/E DG Assinante V: N/E DG Assinante Pino: N/E DG Central H: N/E DG Central V: N/E DG Central Pino: N/E ID Central MSAN: N/E Cabo Primário: N/E Par Primário: N/E Tipo da Caixa Primário: N/E Número da caixa primário: N/E Número da Caixa secundário: N/E Par Secundário: N/E Endereço da caixa: N/E LIC para: N/E Pino Para: N/E Lic Dedicado: N/E Par Dedicado: N/E Satelite: N/E ID Fibra: PCS-59908977-069 Tipo Rede Fibra: FTTH ID ONT: N/E OLT: 1 OLT Porta: N/E OLT Slot: N/E Vlan Multicast: N/E Vlan Usuario: 212 Vlan Unicast: N/E Vlan Rede: 92 Vlan Audiência: 212 Caixa Subterrânea: I01G01752 Fibra 1º Nível: N/E Fibra Porta: 1 Fibra Splitter 2: I01G01752 Tecnologia Fibra: GPON Tipo Equipamento: N/E Cabo: N/E Lateral Fibra: N/E||PCS-V0001QX95S-013|POCOS DE CALDAS|JUIZ DE FORA| |MINAS|||||MASSIVA EM ANÁLISE||81079480|RESIDENCIAL||0|V0001QX95S|0|NAO| GPON |300 Mbps|0|NAO|GOLD|GOLD||FIBRASIL||FIBRASIL||GPON|N|||2026-07-20 18:00:00||||||||||22/07/2026 08:33:14|22/07/2026 08:21:09|PCS-59908977-069|1|||I01G01752|||-46.585687999999998|-21.784300000000002|NAO|||0|False|||||||||||||||NEXT|||0|31584_FB0003206372|MGPCS_G1I01|37701410|BKT_POCOS_DE_CALDAS|||||0||0|||||||||||||||||||||||||||||||1
196292617|PENDENTE|AGENDAMENTO|21/07/2026 22:11:57|PBCBD_G1I01|YEDA ALBUQUERQUE GADELHA 13|PB|58106434|83032|CABEDELO|TROUBLETICKET|DEFEITO|BANDA|NAVEG - NÃO NAVEGA|18/07/2026 16:39:56|21/07/2026 12:30:00|08:30-12:30|Dslan: N/E Nome NISIP(agregador): N/E DG Assinante H: N/E DG Assinante V: N/E DG Assinante Pino: N/E DG Central H: N/E DG Central V: N/E DG Central Pino: N/E ID Central MSAN: N/E Cabo Primário: N/E Par Primário: N/E Tipo da Caixa Primário: N/E Número da caixa primário: N/E Número da Caixa secundário: N/E Par Secundário: N/E Endereço da caixa: N/E LIC para: N/E Pino Para: N/E Lic Dedicado: N/E Par Dedicado: N/E Satelite: N/E ID Fibra: CBD-46740166-069 Tipo Rede Fibra: FTTH ID ONT: N/E OLT: 1 OLT Porta: N/E OLT Slot: N/E Vlan Multicast: N/E Vlan Usuario: 2152 Vlan Unicast: N/E Vlan Rede: 153 Vlan Audiência: 2152 Caixa Subterrânea: I01G0533 Fibra 1º Nível: N/E Fibra Porta: 1 Fibra Splitter 2: I01G0533 Tecnologia Fibra: GPON Tipo Equipamento: N/E Cabo: N/E Lateral Fibra: N/E||CBD-8169NJSRE6-013|CABEDELO|JOAO PESSOA| |NORDESTE|||||TRATAMENTO DE SOBRAS||GPS_1|RESIDENCIAL||0|C0084BF07C|0|NAO| GPON |200 Mbps|0|NAO|SILVER|SILVER||FIBRASIL||FIBRASIL||GPON|N|||2026-07-21 12:30:00||||||||||22/07/2026 08:33:14|22/07/2026 08:21:09|CBD-46740166-069|1|||I01G0533|||-34.849189099999997|-7.043330300000000|NAO|||0|False|||||||||||||||NEXT|||0|83032_I109428298|PBCBD_G1I01|58106434|BKT_CABEDELO|Reagendamento Reparos|22/07/2026 08:40:02|||0||0|||||||||||||||||||||||||||||||0
196295262|AGENDADA||21/07/2026 23:38:33|MGSLA_G1A08|RUA H 155|MG|35702560|31745|VERDE VALE|TROUBLETICKET|DEFEITO|BANDA|NAVEG - NÃO NAVEGA|18/07/2026 16:45:03|22/07/2026 18:00:00|12:30-18:00|Dslan: N/E Nome NISIP(agregador): N/E DG Assinante H: N/E DG Assinante V: N/E DG Assinante Pino: N/E DG Central H: N/E DG Central V: N/E DG Central Pino: N/E ID Central MSAN: N/E Cabo Primário: N/E Par Primário: N/E Tipo da Caixa Primário: N/E Número da caixa primário: N/E Número da Caixa secundário: N/E Par Secundário: N/E Endereço da caixa: N/E LIC para: N/E Pino Para: N/E Lic Dedicado: N/E Par Dedicado: N/E Satelite: N/E ID Fibra: SLA-76458304-069 Tipo Rede Fibra: FTTH ID ONT: N/E OLT: 1 OLT Porta: N/E OLT Slot: N/E Vlan Multicast: N/E Vlan Usuario: 1271 Vlan Unicast: N/E Vlan Rede: 126 Vlan Audiência: 1271 Caixa Subterrânea: A08G0484 Fibra 1º Nível: N/E Fibra Porta: 6 Fibra Splitter 2: A08G0484 Tecnologia Fibra: GPON Tipo Equipamento: N/E Cabo: N/E Lateral Fibra: N/E||SLA-V0001YR9TC-013|SETE LAGOAS|CONTAGEM| |MINAS|||||CASA FECHADA||TBR01060|RESIDENCIAL||1|V0001YR9TC|0|NAO| GPON |500 Mbps|0|NAO|GOLD|GOLD||FIBRASIL||FIBRASIL||GPON|N|||2026-07-21 18:00:00||||||||||22/07/2026 08:33:14|22/07/2026 08:21:09|SLA-76458304-069|1|||A08G0484|||-44.224196100000000|-19.421824600000001|NAO|||0|False|||||||||||||||NEXT|||0|31745_FB0006565849|MGSLA_G1A08|35702560|BKT_SETE_LAGOAS|Reagendamento Reparos|21/07/2026 17:40:01|||0||0|||||||||||||||||||||||||||||||1
196295782|AGENDADA||21/07/2026 17:42:29|MGCEM_G1I04|RUA MULUNGU 947|MG|32310380|31856|ELDORADO|TROUBLETICKET|DEFEITO|BANDA|NAVEG - NÃO NAVEGA|18/07/2026 16:49:34|22/07/2026 18:00:00|12:30-18:00|Dslan: N/E Nome NISIP(agregador): N/E DG Assinante H: N/E DG Assinante V: N/E DG Assinante Pino: N/E DG Central H: N/E DG Central V: N/E DG Central Pino: N/E ID Central MSAN: N/E Cabo Primário: N/E Par Primário: N/E Tipo da Caixa Primário: N/E Número da caixa primário: N/E Número da Caixa secundário: N/E Par Secundário: N/E Endereço da caixa: R.MULUNGU947 LIC para: N/E Pino Para: N/E Lic Dedicado: N/E Par Dedicado: N/E Satelite: N/E ID Fibra: CEM-74755234-069 Tipo Rede Fibra: FTTA ID ONT: N/E OLT: CEM_I04_1_GPON_VLAN_554_558_559_560_564_566-ALC OLT Porta: 7 OLT Slot: 7 Vlan Multicast: 4000 Vlan Usuario: 2534 Vlan Unicast: 3976 Vlan Rede: 554 Vlan Audiência: 2534 Caixa Subterrânea: I04SP52SS8 Fibra 1º Nível: I04-F#52 Fibra Porta: 4 Fibra Splitter 2: I04SP52SS8 Tecnologia Fibra: N/E Tipo Equipamento: N/E Cabo: I04-F#52 Lateral Fibra: N/E||CEM-V0001Y4X0O-013|CONTAGEM|CONTAGEM| |MINAS|||||CASA FECHADA||API_GPS|RESIDENCIAL||1|V0001Y4X0O|0|NAO| GPON |600 Mbps|0|NAO|SILVER|SILVER||VIVO2||||GPON|N|||2026-07-21 18:00:00||||||||||22/07/2026 08:33:14|22/07/2026 08:21:09|CEM-74755234-069|CEM_I04_1_GPON_VLAN_554_558_559_560_564_566-ALC|7|7|I04SP52SS8|||-44.036460452154998|-19.938819781963002|NAO|||0|False|||||||||||||||NEXT|||0|31856_318563704|MGCEM_G1I04|32310380|BKT_CONTAGEM_SUL|Reagendamento Reparos|21/07/2026 17:40:01|||0||0|||||||||||||||||||||||||||||||0
196295988|AGENDADA||21/07/2026 17:50:01|MSCPE_G1M16|RUA MONA LISA 41|MS|79094550|66000|JARDIM TIJUCA|TROUBLETICKET|DEFEITO|BANDA|PROBLEMA COM MODEM - HGU|18/07/2026 16:51:26|22/07/2026 12:30:00|08:30-12:30|Dslan: N/E Nome NISIP(agregador): N/E DG Assinante H: N/E DG Assinante V: N/E DG Assinante Pino: N/E DG Central H: N/E DG Central V: N/E DG Central Pino: N/E ID Central MSAN: N/E Cabo Primário: N/E Par Primário: N/E Tipo da Caixa Primário: N/E Número da caixa primário: N/E Número da Caixa secundário: N/E Par Secundário: N/E Endereço da caixa: R.MONA LISA80 LIC para: N/E Pino Para: N/E Lic Dedicado: N/E Par Dedicado: N/E Satelite: N/E ID Fibra: CPE-74362848-069 Tipo Rede Fibra: FTTH ID ONT: N/E OLT: N/E OLT Porta: N/E OLT Slot: N/E Vlan Multicast: N/E Vlan Usuario: N/E Vlan Unicast: N/E Vlan Rede: N/E Vlan Audiência: N/E Caixa Subterrânea: M16G0268 Fibra 1º Nível: M16-F#67 Fibra Porta: 5 Fibra Splitter 2: M16SP67SS4 Tecnologia Fibra: N/E Tipo Equipamento: N/E Cabo: M16-F#67 Lateral Fibra: N/E||CPE-V0001XZJEM-013|CAMPO GRANDE|CAMPO GRANDE| |CENTRO OESTE|||||CASA FECHADA||API_GPS|RESIDENCIAL||4|V0001XZJEM|0|NAO| GPON |600 Mbps|0|NAO|SILVER|SILVER||VIVO2||||GPON|N|||2026-07-19 16:51:22||||||||||22/07/2026 08:33:14|22/07/2026 08:21:09|CPE-74362848-069||||M16SP67SS4|||-54.662172682495004|-20.503438633587002|NAO|||0|False|||||||||||||||NEXT|||0|66000_I115352349|MSCPE_G1M16|79094550|BKT_CAMPO_GRANDE_ONDACOM|Reagendamento Reparos|21/07/2026 17:40:01|||0||0|||||||||||||||||||||||||||||||1
196302026||||BASDR_G1I17|RUA TAMOIOS 213|BA|41940040|71000|RIO VERMELHO|TROUBLETICKET|DEFEITO|BANDA|SINCRONISMO|18/07/2026 17:25:08|22/07/2026 12:30:00|08:30-12:30|Dslan: N/E Nome NISIP(agregador): N/E DG Assinante H: N/E DG Assinante V: N/E DG Assinante Pino: N/E DG Central H: N/E DG Central V: N/E DG Central Pino: N/E ID Central MSAN: N/E Cabo Primário: N/E Par Primário: N/E Tipo da Caixa Primário: N/E Número da caixa primário: N/E Número da Caixa secundário: N/E Par Secundário: N/E Endereço da caixa: R.TAMOIOSZ213 LIC para: N/E Pino Para: N/E Lic Dedicado: N/E Par Dedicado: N/E Satelite: N/E ID Fibra: SDR-63218847-069 Tipo Rede Fibra: FTTA ID ONT: N/E OLT: SDR_I17_2_GPON_VLAN_152_153_154-ALC OLT Porta: 13 OLT Slot: 8 Vlan Multicast: 4000 Vlan Usuario: 880 Vlan Unicast: 3966 Vlan Rede: 153 Vlan Audiência: 880 Caixa Subterrânea: I17SP353SS5 Fibra 1º Nível: I17-F#353 Fibra Porta: 7 Fibra Splitter 2: I17SP353SS5 Tecnologia Fibra: N/E Tipo Equipamento: N/E Cabo: I17-F#353 Lateral Fibra: N/E||SDR-V0001T12K9-013|SALVADOR|SALVADOR| |NORDESTE|||81049872||CASA FECHADA||TBR01060|RESIDENCIAL||2|V0001T12K9|0|NAO| GPON |500 Mbps|0|NAO|PLATINUM|PLATINUM||VIVO2||||GPON|N|||2026-07-20 18:00:00||||||||||22/07/2026 08:33:14|22/07/2026 08:21:09|SDR-63218847-069|SDR_I17_2_GPON_VLAN_152_153_154-ALC|13|8|I17SP353SS5|||-38.486619706739006|-13.010113352525002|NAO|||0|False|||||||||||||||NEXT|||0|71000_400414|BASDR_G1I17|41940040|BKT_SALVADOR_AREA_03|Reagendamento Reparos|21/07/2026 14:40:02|||0||0|||||||||||||||||||||||||||||||0
196307376|AGENDADA||22/07/2026 04:32:07|MSDOS_G1M03|RUA GENERAL OSORIO 3585|MS|79803060|66058|JARDIM AMERICA|TROUBLETICKET|DEFEITO|BANDA|NAVEG - NÃO NAVEGA|18/07/2026 17:39:34|22/07/2026 12:30:00|08:30-12:30|Dslan: N/E Nome NISIP(agregador): N/E DG Assinante H: N/E DG Assinante V: N/E DG Assinante Pino: N/E DG Central H: N/E DG Central V: N/E DG Central Pino: N/E ID Central MSAN: N/E Cabo Primário: N/E Par Primário: N/E Tipo da Caixa Primário: N/E Número da caixa primário: N/E Número da Caixa secundário: N/E Par Secundário: N/E Endereço da caixa: R.GAL. OSORIO3585 LIC para: N/E Pino Para: N/E Lic Dedicado: N/E Par Dedicado: N/E Satelite: N/E ID Fibra: DOS-76029997-069 Tipo Rede Fibra: FTTA ID ONT: N/E OLT: DOS_M03_1_GPON_VLAN_546_547_548_549_550_551-DOR OLT Porta: 16 OLT Slot: 4 Vlan Multicast: 4000 Vlan Usuario: 1063 Vlan Unicast: 3911 Vlan Rede: 547 Vlan Audiência: 1063 Caixa Subterrânea: M03SP85SS6 Fibra 1º Nível: M03-F#85 Fibra Porta: 2 Fibra Splitter 2: M03SP85SS6 Tecnologia Fibra: N/E Tipo Equipamento: N/E Cabo: M03-F#85 Lateral Fibra: N/E||DOS-V0001YLJWO-013|DOURADOS|CAMPO GRANDE| |CENTRO OESTE|||||CASA FECHADA||TBR01060|RESIDENCIAL||2|V0001YLJWO|0|NAO| GPON |600 Mbps|0|NAO|PLATINUM|PLATINUM||VIVO2||||GPON|N|||2026-07-20 19:00:00||||||||||22/07/2026 08:33:14|22/07/2026 08:21:09|DOS-76029997-069|DOS_M03_1_GPON_VLAN_546_547_548_549_550_551-DOR|16|4|M03SP85SS6|||-54.823952976727000|-22.213135653150999|NAO|||0|False|||||||||||||||NEXT|||0|66058_79803060|MSDOS_G1M03|79803060|BKT_DOURADOS|Reagendamento Reparos|21/07/2026 11:40:02|||0||0|||||||||||||||||||||||||||||||0
